Quantity,Price,Side
0.00013,30416.99,SELL,1688744920930
0.0001,30355.079999999998,SELL,1688744981569
0.0001,30353.78,BUY,1688744981818
0.00013,30359.980000000003,BUY,1688745042062
0.00013,30382.2,SELL,1688745042307
0.0001,30365.01,SELL,1688745102987
0.0001,30329.26,BUY,1688745103359
0.0001,30360.010000000002,SELL,1688745163876
0.0001,30267.91,BUY,1688745164257
0.0001,30355.01,SELL,1688745224778
0.0001,30345.22,BUY,1688745225008
0.0001,30360.010000000002,SELL,1688745285625
0.0001,30331.55,BUY,1688745285882
0.0001,30360.170000000002,SELL,1688745346021
0.0001,30298.34,BUY,1688745346391
0.0001,30380.05,SELL,1688745407038
0.0001,30400.04,SELL,1688745467974
0.0001,30305.54,BUY,1688745468357
0.0001,30413.489999999998,SELL,1688745528985
0.0001,30303.59,BUY,1688745529380
0.0001,30395.92,SELL,1688745589779
0.0001,30340.61,BUY,1688745590195
0.0001,30390.01,SELL,1688745650769
0.0001,30262.69,BUY,1688745651150
0.0001,30380.01,SELL,1688745711793
0.0001,30359.61,BUY,1688745712155
0.0001,30395.71,SELL,1688745772698
0.0001,30253.27,BUY,1688745773080
0.0001,30375.009999999995,SELL,1688745833743
0.0001,30309.91,BUY,1688745834121
0.00016,30432.409999999996,BUY,1688746381595
0.00016,30404.759999999995,BUY,1688746561668
0.0001,30354.999999999996,SELL,1688746959476
0.0001,30307.07,BUY,1688746960059
0.00016,30344.969999999998,BUY,1688747020666
0.00016,30371.9,SELL,1688747021189
0.0001,30323.03,SELL,1688747081941
0.0001,30251.58,BUY,1688747082455
0.0001,30327.999999999996,SELL,1688747143143
0.0001,30337.79,BUY,1688747143549
0.00016,30335.0,BUY,1688747203931
0.00015,30345.000000000004,BUY,1688747265161
0.00015,30381.87,SELL,1688747265666
0.00015,30344.960000000003,BUY,1688747325819
0.00015,30372.42,SELL,1688747326194
0.00015,30344.960000000003,BUY,1688747386911
0.00015,30346.740000000005,BUY,1688747447665
0.00015,30339.97,BUY,1688747508462
0.00015,30387.47,SELL,1688747508720
0.00015,30359.99,BUY,1688747569422
0.00015,30367.49,BUY,1688747630105
0.0001,30360.010000000002,SELL,1688747690718
0.0001,30267.81,BUY,1688747690978
0.00014,30364.97,BUY,1688747751536
0.00014,30397.81,SELL,1688747751913
0.0001,30375.09,SELL,1688747812215
0.0001,30256.23,BUY,1688747812572
0.0001,30375.03,SELL,1688747873021
0.0001,30302.69,BUY,1688747873517
0.0001,30380.91,SELL,1688747933748
0.0001,30230.92,BUY,1688747934124
0.0001,30385.01,SELL,1688747994391
0.0001,30271.41,BUY,1688747994639
0.0001,30385.01,SELL,1688748055127
0.0001,30247.25,BUY,1688748055379
0.00015,30389.95,BUY,1688748115679
0.00015,30396.55,SELL,1688748116073
0.00015,30376.95,BUY,1688748242044
0.00015,30364.4,SELL,1688748242405
0.00015,30369.510000000006,BUY,1688748661385
0.00015,30364.63,SELL,1688748661687
0.00015,30349.989999999998,BUY,1688748722176
0.00015,30362.98,SELL,1688748722535
0.00015,30339.730000000003,BUY,1688748783202
0.00014,30339.72,BUY,1688748843976
0.00014,30389.7,SELL,1688748844230
0.00014,30339.22,BUY,1688748904833
0.00014,30383.93,SELL,1688748905347
0.00014,30356.580000000005,BUY,1688749021629
0.00014,30372.93,SELL,1688749022001
0.00014,30362.97,BUY,1688749082569
0.00014,30389.27,SELL,1688749082955
0.00014,30359.989999999998,BUY,1688749143336
0.00014,30362.97,BUY,1688749204567
0.00014,30359.960000000003,BUY,1688749500904
0.00014,30392.9,SELL,1688749501406
0.00014,30359.910000000003,BUY,1688749562031
0.00014,30380.97,SELL,1688749562293
0.00014,30354.990000000005,BUY,1688749638395
0.00014,30346.71,SELL,1688749638757
0.00014,30344.99,BUY,1688749699522
0.00014,30387.69,SELL,1688749699904
0.00014,30344.99,BUY,1688749760682
0.00013,30344.99,BUY,1688749821460
0.00013,30388.78,SELL,1688749821841
0.00013,30339.960000000003,BUY,1688749882587
0.00013,30381.32,SELL,1688749882829
0.00013,30336.510000000002,BUY,1688749943618
0.00013,30377.85,SELL,1688749944123
0.00013,30334.99,BUY,1688750004586
0.00013,30357.63,SELL,1688750004962
0.00013,30349.99,BUY,1688750160760
0.00013,30349.970000000005,BUY,1688750221586
0.00013,30380.86,SELL,1688750222086
0.00013,30344.97,BUY,1688750282878
0.00013,30372.47,SELL,1688750283380
0.00013,30339.970000000005,BUY,1688750343708
0.00013,30370.57,SELL,1688750344086
0.00012,30335.8,BUY,1688750462213
0.00012,30333.56,SELL,1688750462451
0.00012,30279.940000000002,BUY,1688750524742
0.00012,30314.9,SELL,1688750525250
0.0001,30260.039999999997,SELL,1688750585831
0.0001,30233.66,BUY,1688750586070
0.0001,30261.87,SELL,1688750646417
0.0001,30256.89,BUY,1688750646907
0.00012,30289.96,BUY,1688750707256
0.00012,30301.35,SELL,1688750707495
0.00012,30311.329999999998,BUY,1688750768000
0.00012,30324.72,SELL,1688750768237
0.0001,30295.010000000002,SELL,1688750828683
0.0001,30258.53,BUY,1688750829184
0.00012,30309.97,BUY,1688750889957
0.00012,30319.09,SELL,1688750890312
0.00012,30304.958333333332,BUY,1688750950500
0.00012,30359.52,SELL,1688750950863
0.00012,30299.95,BUY,1688751011448
0.00012,30371.23,SELL,1688751011943
0.00012,30294.989999999998,BUY,1688751072399
0.00012,30300.93,SELL,1688751072905
0.0001,30278.71,SELL,1688751133222
0.0001,30224.9,BUY,1688751133458
0.0001,30275.029999999995,SELL,1688751194157
0.0001,30228.27,BUY,1688751194520
0.00012,30285.69,BUY,1688751255092
0.00012,30331.15,SELL,1688751255318
0.00011,30298.72,BUY,1688751315858
0.00011,30348.3,SELL,1688751316237
0.0001,30255.010000000002,SELL,1688751376572
0.0001,30212.66,BUY,1688751376814
0.0001,30255.010000000002,SELL,1688751437545
0.0001,30263.72,BUY,1688751437930
0.00011,30275.0,BUY,1688751498463
0.00011,30365.04,SELL,1688751498968
0.00011,30264.999999999996,BUY,1688751559469
0.00011,30287.95,SELL,1688751559851
0.0001,30260.030000000002,SELL,1688751620241
0.0001,30165.65,BUY,1688751620489
0.00011,30264.989999999998,BUY,1688751680791
0.00011,30295.29,SELL,1688751681289
0.0001,30265.01,SELL,1688751741733
0.0001,30221.7,BUY,1688751742105
0.0001,30265.019999999997,SELL,1688751802871
