Quantity,Price,Side
0.0001,30695.429999999997,SELL,1688646663198
0.0001,30691.12,BUY,1688646663592
0.0001,30688.01,SELL,1688646724241
0.0001,30643.57,BUY,1688646724624
0.0001,30565.01,SELL,1688646842628
0.0001,30576.37,BUY,1688646843032
0.0001,30592.489999999998,SELL,1688647022094
0.0001,30544.57,BUY,1688647022370
0.0001,30606.539999999997,SELL,1688647082755
0.0001,30611.04,BUY,1688647083035
0.0001,30550.0,SELL,1688647322242
0.0001,30545.65,BUY,1688647322641
0.0001,30640.6,SELL,1688648102072
0.0001,30507.89,BUY,1688648102401
0.0001,30610.01,SELL,1688648282879
0.0001,30600.62,BUY,1688648283387
0.0001,30616.6,SELL,1688648582275
0.0001,30589.61,BUY,1688648582713
0.0001,30650.01,SELL,1688648643377
0.0001,30520.59,BUY,1688648643763
0.0001,30645.01,SELL,1688648704324
0.0001,30570.81,BUY,1688648704700
0.0001,30601.59,SELL,1688648821498
0.0001,30589.07,BUY,1688648822007
0.0001,30625.0,SELL,1688648882687
0.0001,30583.29,BUY,1688648883048
0.0001,30634.999999999996,SELL,1688648943687
0.0001,30631.19,BUY,1688648944073
0.0001,30615.01,SELL,1688649244086
0.0001,30553.59,BUY,1688649244396
0.0001,30611.09,BUY,1688649526372
0.0001,30635.35,BUY,1688649602033
0.0001,30634.99,BUY,1688649663187
0.0001,30625.01,SELL,1688649724084
0.0001,30607.12,BUY,1688649724468
0.0001,30620.01,SELL,1688649784926
0.0001,30570.88,BUY,1688649785301
0.0001,30627.989999999998,BUY,1688649845770
0.0001,30620.02,SELL,1688649906921
0.0001,30579.37,BUY,1688649907281
0.0001,30599.989999999998,BUY,1688649967619
0.0001,30600.0,BUY,1688650028325
0.0001,30579.99,BUY,1688650089239
0.0001,30584.989999999998,BUY,1688650150218
0.0001,30584.989999999998,BUY,1688650211058
0.0001,30579.99,SELL,1688650271600
0.0001,30567.38,BUY,1688650271960
0.0001,30584.989999999998,BUY,1688650332446
0.0001,30594.99,BUY,1688650393200
0.0001,30589.949999999997,BUY,1688650454046
0.0001,30545.019999999997,SELL,1688650514782
0.0001,30466.65,BUY,1688650515287
0.0001,30554.999999999996,SELL,1688650575745
0.0001,30532.45,BUY,1688650576122
0.0001,30535.260000000002,SELL,1688650636471
0.0001,30477.42,BUY,1688650636839
0.0001,30535.260000000002,SELL,1688650697201
0.0001,30535.260000000002,SELL,1688650758178
0.0001,30537.44,BUY,1688650758414
0.0001,30546.94,BUY,1688650818809
0.0001,30551.498,BUY,1688650879805
0.0001,30554.99,BUY,1688650940690
0.0001,30522.999999999996,SELL,1688651001459
0.0001,30508.21,BUY,1688651001699
0.0001,30472.739999999998,SELL,1688651062238
0.0001,30446.18,BUY,1688651062482
0.0001,30473.84,BUY,1688651123011
0.0001,30506.64,SELL,1688651123390
0.0001,30434.19,SELL,1688651184137
0.0001,30351.11,BUY,1688651184360
0.0001,30372.859999999997,SELL,1688651843638
0.0001,30301.65,BUY,1688651844193
