Quantity,Price,Side
0.0001,29941.85,SELL,1688686803742
0.0001,29934.47,BUY,1688686804110
0.0001,29950.01,SELL,1688686864694
0.0001,29944.26,SELL,1688686927058
0.0001,29955.3,BUY,1688686927454
0.0001,29955.329999999998,SELL,1688686987840
0.0001,29869.04,BUY,1688686988218
0.0001,29969.999999999996,SELL,1688687048393
0.0001,29951.61,BUY,1688687048749
0.0001,29965.01,SELL,1688687109229
0.0001,29962.12,BUY,1688687109483
0.0001,29969.999999999996,SELL,1688687169919
0.0001,29973.55,BUY,1688687170291
0.0001,29980.01,SELL,1688687230634
0.0001,29988.93,BUY,1688687230876
0.0001,29984.999999999996,BUY,1688687291293
0.0001,30011.69,SELL,1688687291540
0.0001,29977.2,SELL,1688687352006
0.0001,30005.42,BUY,1688687352250
0.0001,29977.52,BUY,1688687412590
0.0001,29982.15,SELL,1688687413096
0.0001,29991.289999999997,BUY,1688687473438
0.0001,29985.32,SELL,1688687473695
0.0001,29980.01,SELL,1688687534108
0.0001,29977.02,BUY,1688687534361
0.0001,30002.9,BUY,1688687594557
0.0001,29986.74,SELL,1688687595072
0.0001,29970.03,SELL,1688687655580
0.0001,29937.91,BUY,1688687655820
0.0001,29978.379999999997,BUY,1688687716018
0.0001,29986.35,SELL,1688687716380
0.0001,29922.51,SELL,1688687822692
0.0001,29896.51,BUY,1688687822925
0.0001,29895.0,SELL,1688687883533
0.0001,29825.18,BUY,1688687883923
0.0001,29895.010000000002,SELL,1688687944161
0.0001,29892.15,BUY,1688687944540
0.0001,29889.999999999996,SELL,1688688004745
0.0001,29809.06,BUY,1688688005249
0.0001,29871.850000000002,SELL,1688688122066
0.0001,29850.18,BUY,1688688122575
0.0001,29786.260000000002,SELL,1688688192922
0.0001,29798.78,BUY,1688688193294
0.0001,29805.03,SELL,1688688302663
0.0001,29824.999999999996,SELL,1688688363653
0.0001,29789.75,BUY,1688688363896
0.0001,29794.999999999996,SELL,1688688481838
0.0001,29838.23,SELL,1688688542607
0.0001,29860.0,SELL,1688688603731
0.00031,29873.539999999997,SELL,1688688662474
0.0001,30009.559999999998,BUY,1688689322579
0.0001,29999.57,SELL,1688689323033
0.00031,30020.01,SELL,1688689383740
0.00031,29992.0,BUY,1688689383995
0.0003,30003.23,SELL,1688689444481
0.0003,29916.29,BUY,1688689444848
0.0003,30005.010000000002,SELL,1688689505491
0.0003,29920.87,BUY,1688689505738
0.0003,30000.000000000004,SELL,1688689566019
0.0003,29931.99,BUY,1688689566293
0.0003,30005.010000000002,SELL,1688689626651
0.0003,29983.52,BUY,1688689627027
0.0001,30029.989999999998,BUY,1688689687215
0.0001,30054.29,SELL,1688689687584
0.00029,30005.01,SELL,1688689748103
0.00029,29980.28,BUY,1688689748473
0.00029,29990.010000000002,SELL,1688689861676
0.00029,29969.37,BUY,1688689862163
0.0003,29985.000000000004,SELL,1688689922707
0.0003,29923.97,BUY,1688689923082
0.00029,29976.25,SELL,1688689983400
0.00029,29968.88,BUY,1688689983775
0.00031,29945.010000000002,SELL,1688690044233
0.00031,29902.32,BUY,1688690044607
0.0003,29935.010000000006,SELL,1688690162179
0.0003,29892.43,BUY,1688690162673
0.0003,29915.010000000002,SELL,1688690223180
0.0003,29910.000000000004,SELL,1688690341368
0.0003,29881.65,BUY,1688690341909
0.0003,29915.230000000003,SELL,1688690462376
0.0001,30039.21,BUY,1688691122390
0.0001,30087.79,SELL,1688691122969
0.0003,30020.010000000002,SELL,1688691183375
0.0003,30040.000000000004,SELL,1688691243946
0.0003,29999.87,BUY,1688691244214
0.0003,30030.010000000002,SELL,1688691361566
0.0003,29971.55,BUY,1688691362081
0.0001,30054.929999999997,BUY,1688691422263
0.0001,30067.25,SELL,1688691422500
0.0001,30044.989999999998,BUY,1688691484040
0.0001,30072.5,SELL,1688691484557
0.0001,30044.989999999998,BUY,1688691545397
0.0001,30054.85,SELL,1688691545645
0.00029,30041.949999999997,SELL,1688691607336
0.00029,30048.77,BUY,1688691607849
0.00029,30048.7,SELL,1688691668373
0.00029,30036.94,BUY,1688691668733
0.00029,30054.999999999996,SELL,1688691729133
0.00029,29987.82,BUY,1688691729627
0.0001,30064.42,BUY,1688691789965
0.0001,30067.72,SELL,1688691790331
0.00029,30050.05,SELL,1688691901256
0.00029,29999.69,BUY,1688691901776
0.00028,30048.9,SELL,1688691962274
0.00028,30018.0,BUY,1688691962516
0.00028,30051.0,SELL,1688692023017
0.00028,30015.92,BUY,1688692023516
0.00028,30060.100000000006,SELL,1688692083865
0.00028,30050.100000000002,SELL,1688692201915
0.00028,30013.28,BUY,1688692202169
0.00027,30040.010000000002,SELL,1688692262780
0.00027,30002.42,BUY,1688692263161
0.00027,30045.0,SELL,1688692323771
0.00027,30015.26,BUY,1688692324042
0.00027,30045.01,SELL,1688692384532
0.00027,29969.61,BUY,1688692384920
0.00026,30045.010000000002,SELL,1688692445367
0.00026,29962.79,BUY,1688692445603
0.00026,30050.0,SELL,1688692506245
0.00026,29969.33,BUY,1688692506733
0.00026,30050.010000000002,SELL,1688692567066
0.00026,29962.58,BUY,1688692567566
0.00026,30045.010000000002,SELL,1688692627930
0.00026,30040.54,BUY,1688692628434
0.00026,30033.65,SELL,1688692688957
0.00026,30005.83,BUY,1688692689330
0.00026,30033.52884615385,SELL,1688692749774
0.00026,30021.36,BUY,1688692750137
0.00025,30024.999999999996,SELL,1688692810727
0.00025,29996.81,BUY,1688692811100
0.00028,29992.989999999998,SELL,1688693101885
0.00028,29990.99,BUY,1688693102386
0.00028,29985.010000000002,SELL,1688693247123
0.00028,29995.010000000006,SELL,1688693308043
0.00028,29980.97,BUY,1688693308305
0.00028,30100.000000000007,SELL,1688693967980
0.00028,30060.56,BUY,1688693968562
0.0001,30094.989999999998,BUY,1688694029288
0.0001,30099.06,SELL,1688694029695
0.00027,30080.03,SELL,1688694089973
0.00027,30071.74,BUY,1688694090366
0.00027,30090.0,SELL,1688694150679
0.00027,30066.12,BUY,1688694151055
0.00027,30085.010000000002,SELL,1688694211684
0.00027,30068.51,BUY,1688694211913
0.00027,30090.01,SELL,1688694272325
0.00027,30018.25,BUY,1688694272698
0.00026,30085.010000000002,SELL,1688694333134
0.00026,30068.44,BUY,1688694333503
0.00026,30075.050000000003,SELL,1688694393936
0.00026,30045.72,BUY,1688694394175
0.0001,30095.0,BUY,1688694454524
0.0001,30112.04,SELL,1688694454779
0.00026,30090.010000000002,SELL,1688694514988
0.00026,30069.83,BUY,1688694515501
0.00026,30100.010000000002,SELL,1688694576423
0.00026,30023.62,BUY,1688694576812
0.0001,30109.989999999998,BUY,1688694637165
0.0001,30101.04,SELL,1688694637407
0.00025,30090.01,SELL,1688694697807
0.00025,30100.04,SELL,1688694758605
0.00025,30061.24,BUY,1688694758979
0.00025,30096.530000000002,SELL,1688694819375
0.00025,30064.32,BUY,1688694819623
0.00025,30100.89,SELL,1688694880071
0.00025,30035.23,BUY,1688694880311
0.00024,30095.05,SELL,1688694940750
0.00024,30063.22,BUY,1688694941006
0.00025,30070.01,SELL,1688695600828
0.00024,30075.04,SELL,1688695661870
0.00024,30050.03,BUY,1688695662255
0.00024,30080.05,SELL,1688695722754
0.00024,30026.22,BUY,1688695723135
0.00024,30085.16,SELL,1688695783527
0.00024,30041.79,BUY,1688695783908
0.00024,30070.02,SELL,1688695844509
0.00024,30024.6,BUY,1688695844885
0.00023,30080.010000000002,SELL,1688696504142
0.00023,30032.24,BUY,1688696504689
0.00023,30085.04,SELL,1688696565289
0.00023,30048.62,BUY,1688696565665
0.0001,30094.87,BUY,1688696626296
0.0001,30082.08,SELL,1688696626821
0.00023,30075.010000000002,SELL,1688696687452
0.00023,30080.6,BUY,1688696687969
0.00023,30090.019999999997,SELL,1688696748549
0.00023,30039.75,BUY,1688696749068
0.00022,30094.999999999996,SELL,1688696809621
0.00022,30063.8,BUY,1688696810006
0.00022,30084.999999999996,SELL,1688696870818
0.00022,30081.92,BUY,1688696871319
0.0001,30099.989999999998,BUY,1688696932032
0.0001,30099.989999999998,BUY,1688696993001
0.0001,30090.58,SELL,1688696993380
0.0001,30114.98,BUY,1688697053891
0.0001,30131.22,SELL,1688697054424
0.00022,30095.01,SELL,1688697114855
0.00022,30080.9,BUY,1688697115244
0.0001,30109.989999999998,BUY,1688697176537
0.0001,30092.97,SELL,1688697176918
0.00022,30100.01,SELL,1688697237489
0.00022,30060.34,BUY,1688697237989
0.00022,30100.03,SELL,1688697298262
0.00022,30094.8,BUY,1688697298515
0.0001,30118.079999999998,BUY,1688697359057
0.0001,30144.7,SELL,1688697359444
0.0001,30118.079999999998,BUY,1688697419964
0.0001,30119.69,SELL,1688697420359
0.00021,30100.09,SELL,1688697481108
0.00021,30041.9,BUY,1688697481631
0.00021,30100.052857142855,SELL,1688697542143
0.00021,30052.34,BUY,1688697542528
0.0001,30142.839999999997,BUY,1688698202361
0.0001,30209.55,SELL,1688698202923
0.00021,30115.01,SELL,1688698263654
0.00021,30116.11,BUY,1688698264041
0.00021,30110.01,SELL,1688698324496
0.00021,30079.04,BUY,1688698324887
0.00021,30102.139999999996,SELL,1688698385300
0.00021,30094.81,BUY,1688698385822
0.0001,30119.889999999996,BUY,1688698446416
0.0001,30193.24,SELL,1688698446926
0.00021,30112.01,SELL,1688698507428
0.00021,30055.7,BUY,1688698507943
0.0002,30112.339999999997,SELL,1688698568281
0.0002,30059.15,BUY,1688698568533
0.0002,30120.0,SELL,1688698629189
0.0002,30120.0,SELL,1688698689984
0.0002,30105.92,BUY,1688698690369
0.0002,30100.02,SELL,1688698750990
0.0002,30017.52,BUY,1688698751370
0.0001,30124.829999999998,BUY,1688698812112
0.0001,30149.61,SELL,1688698812519
0.0001,30124.979999999996,BUY,1688698873162
0.0001,30130.33,SELL,1688698873688
0.0001,30124.12,BUY,1688698934296
0.0001,30160.53,SELL,1688698934693
0.0002,30101.589999999997,SELL,1688698995249
0.0002,30071.53,BUY,1688698995770
0.0002,30100.12,SELL,1688699056527
0.0002,30072.23,BUY,1688699056783
0.0001,30119.96,BUY,1688699117295
0.0001,30115.57,SELL,1688699117683
0.00019,30100.03,SELL,1688699178206
0.00019,30000.72,BUY,1688699178601
0.00019,30100.01,SELL,1688699238883
0.00019,30039.29,BUY,1688699239133
0.00019,30105.329999999998,SELL,1688699299598
0.00019,30080.2,BUY,1688699299869
0.00019,30105.329999999998,SELL,1688699360523
0.00019,30071.47,BUY,1688699361038
0.00019,30105.35,SELL,1688699421807
0.00019,30074.92,BUY,1688699422192
0.0001,30119.95,BUY,1688699482294
0.0001,30132.65,SELL,1688699482547
0.0001,30119.989999999998,BUY,1688699543186
0.0001,30138.28,SELL,1688699543684
0.0001,30129.98,BUY,1688699604364
0.0001,30136.92,SELL,1688699604893
0.00018,30110.01,SELL,1688699665455
0.00018,30103.26,BUY,1688699665851
0.00018,30110.01,SELL,1688699726340
0.00018,30076.44,BUY,1688699726577
0.00018,30110.01,SELL,1688699787278
0.0001,30124.979999999996,BUY,1688699848350
0.0001,30128.99,SELL,1688699848606
0.00018,30125.01,SELL,1688699909407
0.00018,30075.37,BUY,1688699909915
0.00018,30130.02,SELL,1688699970480
0.00018,30130.009999999995,SELL,1688700031649
0.00018,30121.98,BUY,1688700032033
0.00017,30151.18882352941,SELL,1688700092323
0.00017,30150.29,BUY,1688700092709
0.0001,30159.969999999998,BUY,1688700153263
0.0001,30184.27,SELL,1688700153640
0.0001,30154.93,BUY,1688700213895
0.0001,30179.0,SELL,1688700214285
0.0001,30149.989999999998,BUY,1688700274864
0.0001,30191.99,SELL,1688700275244
0.0001,30159.989999999998,BUY,1688700335826
0.0001,30270.72,SELL,1688700336269
0.0001,30149.979999999996,BUY,1688700396865
0.0001,30176.74,SELL,1688700397388
0.00017,30130.01,SELL,1688700457841
0.00017,30122.84,BUY,1688700458108
0.00017,30126.079999999994,SELL,1688700518635
0.00017,30123.72,BUY,1688700519028
0.0001,30129.98,BUY,1688700579893
0.0001,30153.82,SELL,1688700580317
