Current per trade price
30869.56
30769.91
30743.96
30699.99
30701.7
30718.06
30736.17
30744.99
30721.14
30751.14
30688.02
30695.01
30714.56
30705.03
30689.99
30592.48
30592.49
30612.76
30561.17
30640.6
30616.11
30632.18
30650.0
30660.18
30610.0
30621.13
30640.77
30634.89
